Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
WM,Waste Management,118.68,3.16,2.74%,115.59,119.03,115.59,3281200,3/5/2021
WMB,Williams Companies,24.26,0.15,0.62%,24.45,24.59,23.79,11503300,3/5/2021
WMT,Wal-Mart Stores,129.12,1.59,1.25%,126.83,129.75,126.75,11357800,3/5/2021
WORK,Slack Technologies Inc,40.45,0.5,1.25%,40,40.58,39.78,6107300,3/5/2021
WPC,W.P. Carey & CO Llc,67.7,0.51,0.76%,67.4,67.87,66.12,1340200,3/5/2021
WRB,W.R. Berkley Corp,72.96,2.28,3.23%,71.6,73.16,70.63,667100,3/5/2021
WRI,Weingarten Realty Investors,26.59,0.56,2.15%,26.13,26.64,25.37,813700,3/5/2021
WRK,Westrock Company,50.68,2.29,4.73%,48.88,50.95,48.55,4466800,3/5/2021
WSM,Williams-Sonoma,128.17,1.7,1.34%,127.29,128.28,120.01,1200500,3/5/2021
WSO,Watsco Inc,239.66,6,2.57%,235.36,240.76,233.13,280700,3/5/2021
WST,West Pharmaceutical Services,262.4,5.11,1.99%,259.49,263,253.85,568100,3/5/2021
WTFC,Wintrust Finl Corp,79.43,3.1,4.06%,77.67,79.67,76.86,606100,3/5/2021
WTM,White Mountains Insurance Group,1171.23,60.14,5.41%,1111.54,1171.23,1089.52,154200,3/5/2021
WTRG,Essential Utilities Inc,42.63,1.13,2.72%,41.8,42.68,41.46,1381300,3/5/2021
WU,Western Union Company,24.09,0.62,2.64%,23.72,24.13,23.48,3473800,3/5/2021
WWD,Woodward Inc,115.23,-0.3,-0.26%,117.57,117.57,111.21,469800,3/5/2021
WWE,World Wrestling Entertainment,54.5,1.92,3.65%,52.96,54.78,52.12,1357200,3/5/2021
WY,Weyerhaeuser Company,33.76,0.95,2.90%,33.09,33.85,31.8,6674000,3/5/2021
WYNN,Wynn Resorts Ltd,133.32,0.43,0.32%,133.12,133.9,126.18,3350900,3/5/2021
XEC,Cimarex Energy Company,67.19,3.5,5.50%,65.52,67.41,62.44,1624400,3/5/2021
XEL,XCEL Energy Inc,61.35,2.43,4.12%,59.09,61.51,59.03,4728000,3/5/2021
XLNX,Xilinx Inc,119.95,2.83,2.42%,119.98,120.38,111.84,2842300,3/5/2021
XLRN,Acceleron Pharma,127.79,-0.11,-0.09%,127.06,128.58,119.2,987100,3/5/2021
XOM,Exxon Mobil Corp,60.93,2.22,3.78%,59.83,61.05,59.11,51429700,3/5/2021
XPO,Xpo Logistics Inc,116.92,1.88,1.63%,116,117.94,109,1192600,3/5/2021
XRAY,Dentsply Sirona Inc,60,1.29,2.20%,59.88,61.33,58.99,2732700,3/5/2021
XRX,Xerox Corp,26.09,0.52,2.03%,25.84,26.22,25.18,2272200,3/5/2021
XYL,Xylem Inc,100.24,1.74,1.77%,99.53,100.57,96.69,1044300,3/5/2021
Y,Alleghany Corp,632.87,7.17,1.15%,634.54,635.39,623.02,55300,3/5/2021
