Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
IPHI,"Inphi Corp",143.38,-4.05,-2.75%,144.99,147.35,140.76,1097441,"15:43 ET"
IQV,"Iqvia Holdings Inc",165.99,-7.67,-4.42%,172.76,173.41,165.48,933737,"15:43 ET"
IR,"Ingersoll Rand Inc",42.75,-0.030000000000001,-0.07%,42.5,43.85,42.47,2187724,"15:43 ET"
IRM,"Iron Mountain Inc",27.11,0.46,+1.73%,26.67,27.29,26.6,2537607,"15:43 ET"
ISRG,"Intuitive Surg Inc",749.06,-24.39,-3.15%,771.04,771.71,742,474138,"15:43 ET"
IT,"Gartner Inc",157.55,1.7,+1.09%,156.36,159.94,154.41,427871,"15:42 ET"
ITT,"ITT Inc",71.42,2.02,+2.91%,69.73,71.92,69.44,376581,"15:43 ET"
ITW,"Illinois Tool Works Inc",218.14,4.25,+1.99%,214.08,219.08,213.68,766050,"15:43 ET"
IVZ,"Invesco Plc",14.54,-0.3,-2.02%,14.77,15.03,14.5,3970397,"15:43 ET"
J,"Jacobs Engineering Group Inc",101.7,1.57,+1.57%,100.51,103.53,100.21,811792,"15:43 ET"
JAMF,"Jamf Holding Corp",33.29,-0.49,-1.45%,33.8,34.6,32.78,196143,"15:43 ET"
JAZZ,"Jazz Pharma Plc",150.6,4.42,+3.02%,147.57,151.47,145.11,373768,"15:42 ET"
JBGS,"Jbg Smith Properties",29.44,1.35,+4.81%,28.32,29.61,27.92,490340,"15:43 ET"
JBHT,"J B Hunt Transport",128.5,4.19,+3.37%,124,129.68,121.85,1466385,"15:43 ET"
JBL,"Jabil Circuit",37.5,0.39,+1.05%,37.32,37.78,36.96,922009,"15:43 ET"
JBLU,"Jetblue Airways Cp",15.01,-0.02,-0.13%,14.74,15.25,14.62,9092140,"15:42 ET"
JCI,"Johnson Controls Intl",44.41,-0.010000000000005,-0.02%,44.74,45.31,44.24,5426168,"15:43 ET"
JEF,"Jefferies Financial Group Inc",23.11,1.07,+4.85%,22.27,23.17,22.2,1317446,"15:43 ET"
JKHY,"Jack Henry & Assoc",160.17,1.34,+0.84%,158.84,160.44,157.72,574897,"15:42 ET"
JLL,"Jones Lang Lasalle Inc",132.68,-4.45,-3.25%,137.84,138.51,131.38,632680,"15:43 ET"
JNJ,"Johnson & Johnson",148.46,2.38,+1.63%,147.25,148.75,146.26,5059817,"15:43 ET"
JNPR,"Juniper Networks",21.48,0.059999999999999,+0.28%,21.39,21.6,21.15,1346348,"15:43 ET"
JPM,"JP Morgan Chase & Company",116.5,-0.40000000000001,-0.34%,117.35,119.15,114.69,15857419,"15:43 ET"
JW.A,"John Wiley Sons Cl A",34.9,1.34,+3.99%,33.86,35,33.39,139873,"15:41 ET"
JWN,Nordstrom,17.66,1.5,+9.28%,16.05,17.66,15.81,14920221,"15:43 ET"
K,"Kellogg Company",64.05,1.09,+1.73%,62.93,64.26,62.09,2524404,"15:43 ET"
KDP,"Keurig Dr Pepper Inc",28.41,0.68,+2.45%,27.25,28.41,27.11,5387560,"15:43 ET"
KEX,"Kirby Corp",45.31,0.32,+0.71%,44.9,45.91,44.14,838965,"15:43 ET"
KEY,Keycorp,15.45,0.25,+1.64%,15.36,15.59,14.95,8755052,"15:43 ET"
KEYS,"Keysight Technologies Inc Comm",112.57,-2.99,-2.59%,114.71,114.71,111.82,1028001,"15:43 ET"
KHC,"Kraft Heinz Company",30.48,-0.14,-0.46%,30.04,30.55,29.53,11091985,"15:43 ET"
KIM,"Kimco Realty Corp",14.23,0.66,+4.86%,13.54,14.41,13.18,9624391,"15:43 ET"
KKR,"KKR & CO LP",38.41,0.4,+1.05%,38.1,38.47,37.72,1859591,"15:43 ET"
KLAC,"K L A-Tencor Corp",224.91,-7.41,-3.19%,230,232.27,223.91,635795,"15:43 ET"
KMB,"Kimberly-Clark Corp",136.8,4.14,+3.12%,132.4,136.92,131.14,1628947,"15:43 ET"
KMI,"Kinder Morgan",12.83,0.53,+4.31%,12.47,12.86,12.27,14731726,"15:43 ET"
KMPR,"Kemper Corp",69.55,3.06,+4.60%,67.04,70.09,66.2,143619,"15:42 ET"
KMX,"Carmax Inc",94.63,-1.34,-1.40%,96.21,96.65,92.94,959448,"15:43 ET"
KNX,"Knight-Swift Transporation Inc",40.36,1.67,+4.32%,39,40.9,38.68,2428715,"15:43 ET"
KO,"Coca-Cola Company",54.09,1.52,+2.89%,52.57,54.16,52.23,16668736,"15:43 ET"
KR,"Kroger Company",31.87,0.86,+2.77%,31,31.88,30.92,6313225,"15:43 ET"
KRC,"Kilroy Realty Corp",59.59,3.99,+7.18%,55.81,59.73,55.53,1998571,"15:43 ET"
KSS,"Kohl's Corp",26.29,0.45,+1.74%,25.8,27.14,25.34,10372412,"15:43 ET"
KSU,"Kansas City Southern",188.26,3.95,+2.14%,184.17,189.16,175.45,1026002,"15:42 ET"
