Symbol,Name,Sector,sss_value,close,appearance_counter
PPG,PPG Industries  Inc.,Basic Materials,119345263.26971,171.16,4.5284
EMN,Eastman Chemical Company,Basic Materials,4039442.88301,116.97,4.5281
POST,Post Holdings  Inc.,Consumer Defensive,6466539.85939,110.66,4.499
FBHS,Fortune Brands Home & Security ,Consumer Cyclical,4149305.27351,96.21,4.4974
AMG,Affiliated Managers Group  Inc.,Financial Services,5719.00981,154.87,4.4808
BAX,Baxter International Inc.,Healthcare,4215892.60772,81.15,4.4296
LBTYK,Liberty Global plc,Communication Services,479809.34562,27.61,4.4274
WTM,White Mountains Insurance Group,Financial Services,2006853825.62371,1122.26,4.3848
WFC,Wells Fargo & Company,Financial Services,44.11966,42.79,4.303
MNST,Monster Beverage Corporation,Consumer Defensive,8826162.14515,92.57,4.2871
AEE,Ameren Corporation,Utilities,33274795.51545,84.49,4.2627
DOW,Dow Inc.,Basic Materials,59777314.61169,63.54,4.2383
FCNCA,First Citizens BancShares  Inc.,Financial Services,8917756.46227,839.51,4.1814
BC,Brunswick Corporation,Consumer Cyclical,73466.09197,92.69,4.1796
LECO,Lincoln Electric Holdings  Inc.,Industrials,10933699.05348,123.47,4.1295
APD,Air Products and Chemicals  Inc,Basic Materials,70551969.67289,299.09,4.1257
USB,U.S. Bancorp,Financial Services,287899942.51561,55.72,4.1041
SIVB,SVB Financial Group,Financial Services,49965385.21156,545.38,4.0606
CHD,Church & Dwight Company  Inc.,Consumer Defensive,18128304.1226,85.46,4.0459
TTWO,Take-Two Interactive Software  ,Communication Services,335382.88395,170.5,4.0453
SO,Southern Company (The),Utilities,48370624.66049,63.35,4.0154
PNFP,Pinnacle Financial Partners  In,Financial Services,433262.29338,85.58,4.0001
PEP,Pepsico  Inc.,Consumer Defensive,1433186095.8695,148.52,3.9604
BERY,Berry Global Group  Inc.,Consumer Cyclical,210290.07065,64.39,3.9219
BOKF,BOK Financial Corporation,Financial Services,4219958581.0379,86.58,3.86
RBC,Regal Beloit Corporation,Industrials,250765.51467,128.54,3.8415
CNA,CNA Financial Corporation,Financial Services,3477695.74728,46.25,3.7815
ATVI,Activision Blizzard  Inc,Communication Services,11297684.03733,93.19,3.7787
ROK,Rockwell Automation  Inc.,Industrials,330009272.27438,270.99,3.7341
SNPS,Synopsys  Inc.,Technology,36098214.60704,265.14,3.725
STZ,Constellation Brands  Inc.,Consumer Defensive,98201279.04209,229.74,3.7213
WBA,Walgreens Boots Alliance  Inc.,Healthcare,12626086.35171,52.81,3.6883
NVDA,NVIDIA Corporation,Technology,1151713218.05074,746.29,3.6616
EMR,Emerson Electric Company,Industrials,173309857.55962,94.02,3.6532
IDA,IDACORP  Inc.,Utilities,19684359.18469,102.02,3.634
MXIM,Maxim Integrated Products  Inc.,Technology,186042725.24482,102.58,3.6243
MDU,MDU Resources Group  Inc.,Basic Materials,554873.67749,31.54,3.622
ABBV,AbbVie Inc.,Healthcare,551300066.87354,114.9,3.6145
MTB,M&T Bank Corporation,Financial Services,1665867.99713,148.46,3.6019
WMB,Williams Companies  Inc. (The),Energy,265836617.21311,26.93,3.5916
UGI,UGI Corporation,Utilities,853789.15822,46.78,3.5779
TRMB,Trimble Inc.,Technology,87311193.96606,78.2,3.5691
WDC,Western Digital Corporation,Technology,301392.87324,70.77,3.5636
SNA,Snap-On Incorporated,Industrials,571119.0375,215.13,3.5617
CNP,CenterPoint Energy  Inc (Holdin,Utilities,59369669150383.945,25.34,3.5552
ARW,Arrow Electronics  Inc.,Technology,3294.47371,114.51,3.5432
ACI,Albertsons Companies  Inc.,Consumer Defensive,68952522.52832,19.27,3.4994
PAG,Penske Automotive Group  Inc.,Consumer Cyclical,16185.71824,74.44,3.4539
HLF,Herbalife Nutrition Ltd.,Consumer Defensive,1590871434.43196,51.37,3.4453
AGNC,AGNC Investment Corp.,Real Estate,54183300519.22836,16.99,3.4452
COG,Cabot Oil & Gas Corporation,Energy,2344.7883,15.91,3.4094
EAF,GrafTech International Ltd.,Industrials,4842450724.33112,11.79,3.398
FL,Foot Locker  Inc.,Consumer Cyclical,22674.77485,58.27,3.382
MPW,Medical Properties Trust  Inc.,Real Estate,3145842.7607,20.84,3.3645
LNT,Alliant Energy Corporation,Utilities,294380257.73959,58.12,3.3541
CMA,Comerica Incorporated,Financial Services,78965261.54081,70.04,3.3457
SNV,Synovus Financial Corp.,Financial Services,5242057.39911,44.41,3.3216
KMB,Kimberly-Clark Corporation,Consumer Defensive,24946819459.98351,130.08,3.3207
WAL,Western Alliance Bancorporation,Financial Services,3914263.4228,90.9,3.3184
AN,AutoNation  Inc.,Consumer Cyclical,32585.31438,90.69,3.3154
CIEN,Ciena Corporation,Technology,1688321.91205,56.82,3.3045
SNX,Synnex Corporation,Technology,32661.9754,119.64,3.2937
FITB,Fifth Third Bancorp,Financial Services,47165533858114.37,38.03,3.2913
HIG,Hartford Financial Services Gro,Financial Services,926281.68035,62.86,3.2902
URI,United Rentals  Inc.,Industrials,14882548.46051,294.18,3.2856
FLT,FleetCor Technologies  Inc.,Technology,41862648.88014,263.0,3.244
LBTYA,Liberty Global plc,Communication Services,1145473.76702,27.55,3.2363
TTC,Toro Company (The),Industrials,11395178.42797,104.44,3.2192
FE,FirstEnergy Corp.,Utilities,126548430.86863,37.72,3.2054
AL,Air Lease Corporation,Industrials,4270753.05938,43.83,3.1637
OC,Owens Corning Inc,Industrials,1779690.39039,94.64,3.1624
RSG,Republic Services  Inc.,Industrials,142011629.64342,108.62,3.1319
