ev,pe,evr / pm,0.058,2.978,5.909,10.121,20.484,38.839,91.403
1128.000000,465550.360010,327.93343,76.000000,69.000000,63.000000,51.000000,41.000000,32.000000,20.000000
1128.000000,465550.360010,5.43414,55.000000,48.000000,42.000000,31.000000,25.000000,17.000000,10.000000
1128.000000,465550.360010,2.6543,38.000000,33.000000,28.000000,19.000000,14.000000,8.000000,0.000000
1128.000000,465550.360010,1.25983,29.000000,25.000000,22.000000,14.000000,9.000000,0.000000,0.000000
1128.000000,465550.360010,0.72185,17.000000,13.000000,11.000000,8.000000,0.000000,0.000000,0.000000
1128.000000,465550.360010,0.42569,11.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,465550.360010,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,23.084700,327.93343,62.000000,59.000000,53.000000,43.000000,36.000000,27.000000,19.000000
1128.000000,23.084700,5.43414,46.000000,43.000000,37.000000,28.000000,23.000000,15.000000,10.000000
1128.000000,23.084700,2.6543,31.000000,29.000000,24.000000,17.000000,12.000000,0.000000,0.000000
1128.000000,23.084700,1.25983,24.000000,22.000000,19.000000,13.000000,8.000000,0.000000,0.000000
1128.000000,23.084700,0.72185,15.000000,13.000000,11.000000,8.000000,0.000000,0.000000,0.000000
1128.000000,23.084700,0.42569,10.000000,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,23.084700,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,9.818370,327.93343,53.000000,50.000000,46.000000,39.000000,32.000000,24.000000,17.000000
1128.000000,9.818370,5.43414,40.000000,37.000000,33.000000,26.000000,21.000000,14.000000,9.000000
1128.000000,9.818370,2.6543,28.000000,26.000000,22.000000,16.000000,11.000000,0.000000,0.000000
1128.000000,9.818370,1.25983,23.000000,21.000000,18.000000,13.000000,8.000000,0.000000,0.000000
1128.000000,9.818370,0.72185,14.000000,12.000000,10.000000,8.000000,0.000000,0.000000,0.000000
1128.000000,9.818370,0.42569,9.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,9.818370,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,6.572880,327.93343,39.000000,36.000000,33.000000,28.000000,21.000000,15.000000,13.000000
1128.000000,6.572880,5.43414,30.000000,27.000000,24.000000,19.000000,14.000000,9.000000,8.000000
1128.000000,6.572880,2.6543,20.000000,18.000000,15.000000,11.000000,0.000000,0.000000,0.000000
1128.000000,6.572880,1.25983,17.000000,15.000000,13.000000,10.000000,0.000000,0.000000,0.000000
1128.000000,6.572880,0.72185,12.000000,10.000000,9.000000,8.000000,0.000000,0.000000,0.000000
1128.000000,6.572880,0.42569,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,6.572880,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,4.882230,327.93343,27.000000,25.000000,24.000000,20.000000,16.000000,12.000000,10.000000
1128.000000,4.882230,5.43414,20.000000,18.000000,17.000000,13.000000,11.000000,8.000000,7.000000
1128.000000,4.882230,2.6543,13.000000,11.000000,10.000000,7.000000,0.000000,0.000000,0.000000
1128.000000,4.882230,1.25983,11.000000,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,4.882230,0.72185,8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,4.882230,0.42569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,4.882230,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,3.640470,327.93343,15.000000,14.000000,13.000000,10.000000,7.000000,0.000000,0.000000
1128.000000,3.640470,5.43414,10.000000,9.000000,8.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,3.640470,2.6543,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,3.640470,1.25983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,3.640470,0.72185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,3.640470,0.42569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,3.640470,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,2.470100,327.93343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,2.470100,5.43414,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,2.470100,2.6543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,2.470100,1.25983,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,2.470100,0.72185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,2.470100,0.42569,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1128.000000,2.470100,0.25254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
