pi,ev,pe,evr / pm,0.202,3.15331,5.8275,9.94825,21.08482,39.5317,93.65682
0.000012,301.000000,19.094729,3.917775,97.000000,91.000000,75.000000,54.000000,36.000000,22.000000,9.000000
0.000012,301.000000,19.094729,1.810113,76.000000,71.000000,56.000000,37.000000,21.000000,11.000000,0.000000
0.000012,301.000000,19.094729,0.766252,53.000000,49.000000,37.000000,25.000000,15.000000,9.000000,0.000000
0.000012,301.000000,19.094729,0.454205,28.000000,25.000000,18.000000,12.000000,0.000000,0.000000,0.000000
0.000012,301.000000,19.094729,0.259234,12.000000,10.000000,7.000000,7.000000,0.000000,0.000000,0.000000
0.000012,301.000000,9.266744,3811.102525,122.000000,114.000000,100.000000,79.000000,60.000000,43.000000,27.000000
0.000012,301.000000,9.266744,9.633864,104.000000,99.000000,86.000000,68.000000,52.000000,36.000000,20.000000
0.000012,301.000000,9.266744,3.917775,82.000000,78.000000,65.000000,48.000000,32.000000,19.000000,9.000000
0.000012,301.000000,9.266744,1.810113,67.000000,64.000000,51.000000,35.000000,20.000000,10.000000,0.000000
0.000012,301.000000,9.266744,0.766252,46.000000,43.000000,32.000000,23.000000,14.000000,8.000000,0.000000
0.000012,301.000000,9.266744,0.454205,25.000000,22.000000,16.000000,11.000000,0.000000,0.000000,0.000000
0.000012,301.000000,9.266744,0.259234,12.000000,10.000000,7.000000,7.000000,0.000000,0.000000,0.000000
0.000012,301.000000,5.685544,3811.102525,97.000000,89.000000,79.000000,62.000000,47.000000,35.000000,23.000000
0.000012,301.000000,5.685544,9.633864,79.000000,74.000000,65.000000,51.000000,39.000000,28.000000,16.000000
0.000012,301.000000,5.685544,3.917775,64.000000,60.000000,51.000000,38.000000,26.000000,17.000000,9.000000
0.000012,301.000000,5.685544,1.810113,50.000000,47.000000,38.000000,26.000000,14.000000,8.000000,0.000000
0.000012,301.000000,5.685544,0.766252,38.000000,35.000000,27.000000,20.000000,11.000000,7.000000,0.000000
0.000012,301.000000,5.685544,0.454205,24.000000,21.000000,16.000000,11.000000,0.000000,0.000000,0.000000
0.000012,301.000000,5.685544,0.259234,12.000000,10.000000,7.000000,7.000000,0.000000,0.000000,0.000000
0.000012,301.000000,4.414572,3811.102525,69.000000,65.000000,60.000000,46.000000,35.000000,27.000000,17.000000
0.000012,301.000000,4.414572,9.633864,54.000000,52.000000,48.000000,37.000000,29.000000,22.000000,12.000000
0.000012,301.000000,4.414572,3.917775,43.000000,41.000000,37.000000,27.000000,19.000000,13.000000,0.000000
0.000012,301.000000,4.414572,1.810113,32.000000,30.000000,26.000000,17.000000,9.000000,0.000000,0.000000
